L        TxT           TxW1         W1xW1       
124   1.915799e-13  2.982599e-12  7.445742e-07
125   1.903989e-13  2.910916e-12  7.381653e-07
126   1.892337e-13  2.841412e-12  7.318312e-07
127   1.880831e-13  2.774001e-12  7.255699e-07
128   1.869464e-13  2.708604e-12  7.193797e-07
129   1.858234e-13  2.645142e-12  7.132588e-07
130   1.847131e-13  2.583541e-12  7.072055e-07
131   1.836146e-13  2.523731e-12  7.012180e-07
132   1.825280e-13  2.465647e-12  6.952952e-07
133   1.814522e-13  2.409232e-12  6.894359e-07
134   1.803872e-13  2.354426e-12  6.836387e-07
135   1.793320e-13  2.301176e-12  6.779027e-07
136   1.782868e-13  2.249428e-12  6.722265e-07
137   1.772507e-13  2.199132e-12  6.666092e-07
138   1.762234e-13  2.150239e-12  6.610497e-07
139   1.752042e-13  2.102702e-12  6.555469e-07
140   1.741934e-13  2.056476e-12  6.500997e-07
141   1.731901e-13  2.011517e-12  6.447073e-07
142   1.721940e-13  1.967784e-12  6.393685e-07
143   1.712050e-13  1.925237e-12  6.340824e-07
144   1.702224e-13  1.883836e-12  6.288482e-07
145   1.692462e-13  1.843546e-12  6.236648e-07
146   1.682752e-13  1.804330e-12  6.185315e-07
147   1.673092e-13  1.766153e-12  6.134472e-07
148   1.663478e-13  1.728983e-12  6.084113e-07
149   1.653905e-13  1.692787e-12  6.034227e-07
150   1.644369e-13  1.657535e-12  5.984808e-07
151   1.634862e-13  1.623197e-12  5.935847e-07
152   1.625389e-13  1.589743e-12  5.887342e-07
153   1.615945e-13  1.557147e-12  5.839290e-07
154   1.606531e-13  1.525380e-12  5.791688e-07
155   1.597146e-13  1.494418e-12  5.744533e-07
156   1.587793e-13  1.464234e-12  5.697823e-07
157   1.578466e-13  1.434806e-12  5.651553e-07
158   1.569167e-13  1.406109e-12  5.605722e-07
159   1.559894e-13  1.378120e-12  5.560326e-07
160   1.550645e-13  1.350819e-12  5.515362e-07
161   1.541414e-13  1.324184e-12  5.470826e-07
162   1.532199e-13  1.298195e-12  5.426716e-07
163   1.522999e-13  1.272832e-12  5.383027e-07
164   1.513809e-13  1.248076e-12  5.339758e-07
165   1.504631e-13  1.223910e-12  5.296904e-07
166   1.495461e-13  1.200315e-12  5.254462e-07
167   1.486299e-13  1.177274e-12  5.212429e-07
168   1.477143e-13  1.154770e-12  5.170801e-07
169   1.467994e-13  1.132789e-12  5.129575e-07
170   1.458850e-13  1.111314e-12  5.088747e-07
171   1.449710e-13  1.090330e-12  5.048315e-07
172   1.440575e-13  1.069823e-12  5.008274e-07
173   1.431443e-13  1.049779e-12  4.968622e-07
174   1.422311e-13  1.030185e-12  4.929354e-07
175   1.413183e-13  1.011026e-12  4.890467e-07
176   1.404055e-13  9.922919e-13  4.851959e-07
177   1.394927e-13  9.739702e-13  4.813827e-07
178   1.385798e-13  9.560509e-13  4.776069e-07
179   1.376668e-13  9.385237e-13  4.738683e-07
180   1.367538e-13  9.213787e-13  4.701666e-07
181   1.358406e-13  9.046065e-13  4.665018e-07
182   1.349273e-13  8.881978e-13  4.628735e-07
183   1.340139e-13  8.721434e-13  4.592816e-07
184   1.331003e-13  8.564347e-13  4.557258e-07
185   1.321866e-13  8.410631e-13  4.522058e-07
186   1.312726e-13  8.260205e-13  4.487215e-07
187   1.303585e-13  8.112987e-13  4.452727e-07
188   1.294443e-13  7.968899e-13  4.418590e-07
189   1.285298e-13  7.827867e-13  4.384804e-07
190   1.276151e-13  7.689816e-13  4.351364e-07
191   1.267003e-13  7.554675e-13  4.318269e-07
192   1.257852e-13  7.422374e-13  4.285516e-07
193   1.248697e-13  7.292846e-13  4.253103e-07
194   1.239543e-13  7.166025e-13  4.221028e-07
195   1.230386e-13  7.041847e-13  4.189288e-07
196   1.221229e-13  6.920250e-13  4.157881e-07
197   1.212074e-13  6.801173e-13  4.126804e-07
198   1.202921e-13  6.684558e-13  4.096054e-07
199   1.193767e-13  6.570348e-13  4.065630e-07
200   1.184618e-13  6.458486e-13  4.035529e-07
201   1.175470e-13  6.348918e-13  4.005747e-07
202   1.166324e-13  6.241592e-13  3.976282e-07
203   1.157177e-13  6.136454e-13  3.947130e-07
204   1.148030e-13  6.033453e-13  3.918286e-07
205   1.138881e-13  5.932541e-13  3.889746e-07
206   1.129731e-13  5.833668e-13  3.861507e-07
207   1.120579e-13  5.736788e-13  3.833565e-07
208   1.111425e-13  5.641856e-13  3.805916e-07
209   1.102275e-13  5.548826e-13  3.778557e-07
210   1.093128e-13  5.457655e-13  3.751484e-07
211   1.083987e-13  5.368301e-13  3.724694e-07
212   1.074855e-13  5.280723e-13  3.698182e-07
213   1.065733e-13  5.194881e-13  3.671947e-07
214   1.056624e-13  5.110735e-13  3.645984e-07
215   1.047528e-13  5.028248e-13  3.620290e-07
216   1.038444e-13  4.947383e-13  3.594862e-07
217   1.029372e-13  4.868103e-13  3.569696e-07
218   1.020313e-13  4.790373e-13  3.544790e-07
219   1.011266e-13  4.714159e-13  3.520140e-07
220   1.002231e-13  4.639427e-13  3.495744e-07
221   9.932105e-14  4.566145e-13  3.471598e-07
222   9.842020e-14  4.494280e-13  3.447700e-07
223   9.752076e-14  4.423803e-13  3.424046e-07
224   9.662294e-14  4.354681e-13  3.400634e-07
225   9.572678e-14  4.286887e-13  3.377460e-07
226   9.483224e-14  4.220390e-13  3.354523e-07
227   9.393949e-14  4.155164e-13  3.331819e-07
228   9.304858e-14  4.091180e-13  3.309345e-07
229   9.215968e-14  4.028412e-13  3.287100e-07
230   9.127274e-14  3.966834e-13  3.265080e-07
231   9.038790e-14  3.906419e-13  3.243283e-07
232   8.950533e-14  3.847144e-13  3.221706e-07
233   8.862495e-14  3.788984e-13  3.200347e-07
